block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_411336,8205,0,Castro Station via Downtown,96249,2_merged_5547555,5392857
b_409613,8170,0,the Bayview District,95944,1_merged_5547553,5367032
b_411342,8205,0,Castro Station via Downtown,96249,2_merged_5547555,5392856
b_409500,1028_merged_5547547,0,Daly City Station,95904,3_merged_5547554,5366352
b_411341,8205,0,Castro Station via Downtown,96249,2_merged_5547555,5392855
b_409019,8157,1,Downtown,95816,2_merged_5547555,5360380
b_409139,8161,0,Hunter's Point,95830,2_merged_5547555,5361508
b_411048,1198,0,San Francisco Zoo,96214,3_merged_5547554,5388357
b_411053,1198,0,San Francisco Zoo,96214,3_merged_5547554,5388356
b_411052,1198,0,San Francisco Zoo,96214,3_merged_5547554,5388355
b_411037,1196_merged_5547549,0,Downtown,96212,3_merged_5547554,5388354
b_410721,1196_merged_5547549,0,Balboa Park Station,96205,3_merged_5547554,5388352
b_411061,1199,0,Balboa Park Station,96222,3_merged_5547554,5388351
b_411049,1196_merged_5547549,0,Balboa Park Station,96205,3_merged_5547554,5388350
b_411050,1198,0,San Francisco Zoo,96214,3_merged_5547554,5388359
b_411049,1198,0,San Francisco Zoo,96214,3_merged_5547554,5388358
a_424808,8535,1,the Marina District,100662,1_merged_5547550,5544760
a_424802,8535,1,the Marina District,100662,1_merged_5547550,5544761
a_424820,8535,1,the Marina District,100662,1_merged_5547550,5544762
a_424804,8535,1,the Marina District,100662,1_merged_5547550,5544763
a_424806,8535,1,the Marina District,100662,1_merged_5547550,5544764
a_424822,8535,1,the Marina District,100662,1_merged_5547550,5544765
a_420398,8507,1,Downtown,100369,2_merged_5547552,5489959
a_420393,8507,1,Downtown,100369,2_merged_5547552,5489958
a_420395,8507,1,Downtown,100369,2_merged_5547552,5489957
a_420396,8507,1,Downtown,100369,2_merged_5547552,5489956
a_420400,8507,1,Downtown,100369,2_merged_5547552,5489955
a_420390,8507,1,Downtown,100369,2_merged_5547552,5489954
a_420405,8507,1,Downtown,100369,2_merged_5547552,5489953
a_420394,8507,1,Downtown,100369,2_merged_5547552,5489952
a_420392,8507,1,Downtown,100369,2_merged_5547552,5489951
a_420404,8507,1,Downtown,100369,2_merged_5547552,5489950
a_425115,8560,0,Castro Station via Downtown,100866,1_merged_5547550,5547239
a_425114,8560,0,Castro Station via Downtown,100865,1_merged_5547550,5547238
a_425113,8560,0,Balboa Park Station,100870,1_merged_5547550,5547237
a_425113,8560,0,Castro Station via Downtown,100866,1_merged_5547550,5547236
a_425112,8560,0,Castro Station via Downtown,100865,1_merged_5547550,5547235
a_425111,8560,0,Castro Station via Downtown,100865,1_merged_5547550,5547234
a_425114,8560,0,Castro Station via Downtown,100865,1_merged_5547550,5547233
a_425110,8560,0,Castro Station via Downtown,100865,1_merged_5547550,5547232
a_425109,8560,0,Balboa Park Station,100870,1_merged_5547550,5547231
a_425109,8560,0,Castro Station via Downtown,100866,1_merged_5547550,5547230
a_425085,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546728
a_425088,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546729
a_425090,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546722
a_425092,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546723
a_425088,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546720
a_425089,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546721
a_425097,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546726
a_425103,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546727
a_425082,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546724
a_425083,1196_merged_5547540,0,Balboa Park Station via Downtown,100819,1_merged_5547550,5546725
a_422113,8532,0,the Richmond District,100627,2_merged_5547552,5510699
a_422120,8532,0,the Richmond District,100629,2_merged_5547552,5510698
b_410596,8190,0,Van Ness Av.,96116,2_merged_5547555,5380838
b_410597,8190,0,Van Ness Av.,96116,2_merged_5547555,5380839
